Industry,Company Name,Resource Needs,By-Products ,Latitude,Longitude
Food,Praise Export Services Limited,Palm fruits,Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste,5.71231,-0.2728
Recycling,TR Centre Limited,Waste tyre,Carbon black,5.80733,0.15617
Food,Nkulenu Industries,Palm chaff | Wood shaving,Palm fruit chaff | Boiler ash | Palm kennel |Oil waste,5.68014,-0.17033
Paper and Paper Product,Buck Press Limited,Paper,Waste paper | Paper off cuts | Aluminium scraps,5.65202,-0.25736
Alcoholic and Non Alcoholic Beverages,Blowchem Industries,Water,Plastic bottles | Wastewater,5.73477,0.03033
Recycling,Blowplast Recycling,Wastewater | Plastic bottles,Plastic pellets,5.71941,0.01611
Plastic,AVS Industries Limited,Plastic pellets,Plastic Film,5.70441,0.01519
Plastic,JIAN Industries Limited,Plastic pellets,Plastic Film,5.64068,-0.23568
Paper and Paper Product,Fine Print Industries,Paper,Waste paper | Paper off cuts,5.56033,-0.22358
Metal Fabrication,Ferro Fabrik Limited,Slag | Aluminium foil | Aluminium scraps | Steel scraps,Slag,5.66541,0.00801
Metal Smelting,B5 Plus Steel Limited,Slag,,5.71245,0.01793
Food,Wad African Foods Limited,Coconut shells,Food waste,5.55715,-0.34051
Metal Fabrication,Aluworks Limited,Aluminium scraps ,Slag | Crude oil,5.67491,0.02697
Fat and Oil Processing,Chanrai Brand Limited,Palm oil,Wastewater | Oil waste| Waste paper,5.64521,0.00758
Fat and Oil Processing,Madam Gifty Palm Kennel Production,Palm fruit,Palm kennel cake | Palm kennel shell,6.11205,-0.242595
Detergent,Soap Production Company- Private,Oil waste | Cocoa shell,,5.68163,-0.16838
Cement,Savanna Diamond Cement,Carbon black | Slag,,5.67813,-0.16907
Wood Processing,Saw Mill Company,Logs,Wood shavings | Saw dust,5.54828,-0.349003
Metal Fabrication,Crocodile Machete (Ghana Limited),Steel scraps| Aluminium scraps,Aluminium scraps | Steel scraps,5.66526,0.00166
Fish Processing,Pioneer Food Cannery,Fish head,,5.64471,0.01502
Fish Processing,Cosmo Seafood Company Limited,Fish,Fish head,5.63216,0.00681
Metal Fabrication,Alutrade,Metal,Glass | Aluminium scraps,5.56148,-0.22338
Metal Smelting,N. Nest Metals,Non-Ferrous metals (Aluminum offcuts and Aluminum dust),none,5.56273,-0.224
Recycling,Auco Company Limited,Vegetable oil,,5.67817,-0.12601
Recycling,V jet Company Limited,Waste paper,,5.67817,-0.12601
Alcoholic and Non Alcoholic Beverages,Accra Breweries Limited,grains,Spent grain,5.55496,-0.21638
Alcoholic and Non Alcoholic Beverages,Guiness Ghana Breweries Limited,grains,Spent grain,5.58439,-0.22144
Agriculture,Livestock farmers,Spent grain,,5.54967,-0.34753
Wood Processing,Logs & Lumber Limited,,Wood shavings | Saw dust | Logs,6.67351,-1.60885
Wood Processing,Sokoban Wood Village,Logs,Wood shavings | Saw dust,6.62251,-1.60569
Metal Smelting,Rider Steel Ghana Limited,Aluminium scraps | Steel scraps | Aluminium foil,Slag | Coke gas | Blast furnace gas | Converter gas,5.70128,0.02168
Metal Smelting,Tema Steel Company Limited,Aluminium scraps | Steel scraps | Aluminium foil,Slag | Coke gas | Blast furnace gas | Converter gas,5.69131,-0.00173
Metal Smelting,Fabrimetal Ghana Limited,Aluminium scraps | Steel scraps | Aluminium foil,Slag | Coke gas | Blast furnace gas | Converter gas,5.82202,0.19705
Metal Smelting,Sentuo Steel Company Limited,Aluminium scraps | Steel scraps | Aluminium foil,Slag | Coke gas | Blast furnace gas | Converter gas,5.66999,0.01579
Metal Smelting,Volta Aluminium Company Limited,Aluminium scraps | Steel scraps | Aluminium foil,Slag | Coke gas | Blast furnace gas | Converter gas,5.66911,0.02079
Metal Smelting,Star Steel,Aluminium scraps | Steel scraps | Aluminium foil,Slag | Coke gas | Blast furnace gas | Converter gas,5.74501,0.09276
Wood Processing,Samartex Timber and Plywood Company Limited,,Wood shavings | Saw dust | Logs,5.61072,-2.56668
Wood Processing,John Bittar Company Limited,,Wood shavings | Saw dust | Logs,6.22339,-2.48049
