"source_company","target_company","Source_Industry","Target_Industry","Matching_Item","source_lat","source_long","source_industry","source_resource_needs","source_by_products","target_lat","target_long","target_industry","target_resource_needs","target_by_products"
"Praise Export Services Limited","Nkulenu Industries","Food","Food","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",5.68014,-0.17033,"Food","Palm chaff | Wood shaving","Palm fruit chaff | Boiler ash | Palm kennel |Oil waste"
"Praise Export Services Limited","Madam Gifty Palm Kennel Production","Food","Fat and Oil Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",6.11205,-0.242595,"Fat and Oil Processing","Palm fruit","Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Ghana Specialty Fats Industry Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",5.68879,0.01272,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Wilmar Africa Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",5.60377,-0.18695,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Norpalm Ghana Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",4.92814,-1.89606,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Benso Oil Palm Plantation Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",5.10795,-1.91433,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Twifo Oil Palm Plantation Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",5.54784,-1.54776,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Ghana Oil Palm Development Company","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",6.09381,-0.83419,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Juaben Oil Mills Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",6.81537,-1.41384,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Ghana Nuts Company Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",7.53762,-1.9404,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"Praise Export Services Limited","Fuji Oil Ghana Limited","Food","Oil and Fat Processing","Palm",5.71231,-0.2728,"Food","Palm fruits","Palm fruit chaff | Boiler ash | Palm kennel | Oil waste | Food waste",7.53785,-1.93896,"Oil and Fat Processing","Palm kennel shell","Oil waste | Palm kennel cake | Palm kennel shell"
"TR Centre Limited","Buck Press Limited","Recycling","Paper and Paper Product","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.65202,-0.25736,"Paper and Paper Product","Paper","Waste paper | Paper off cuts | Aluminium scraps"
"TR Centre Limited","Fine Print Industries","Recycling","Paper and Paper Product","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.56033,-0.22358,"Paper and Paper Product","Paper","Waste paper | Paper off cuts"
"TR Centre Limited","Chanrai Brand Limited","Recycling","Fat and Oil Processing","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.64521,0.00758,"Fat and Oil Processing","Palm oil","Wastewater | Oil waste| Waste paper"
"TR Centre Limited","Nestle Ghana Limited","Recycling","Food","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.67414,-0.00408,"Food",NA,"Waste paper | Paper off cuts"
"TR Centre Limited","Fan Milk Limited","Recycling","Food","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.68153,-0.01185,"Food",NA,"Waste paper | Paper off cuts"
"TR Centre Limited","Usibras Ghana Limited","Recycling","Food","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.7408,0.09503,"Food",NA,"Waste paper | Paper off cuts | Cashew nut shell"
"TR Centre Limited","Healthilife Beverages Limited","Recycling","Food","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.6518,-0.09413,"Food",NA,"Waste paper | Paper off cuts"
"TR Centre Limited","Promasidor Ghana Limited","Recycling","Food","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",5.58663,-0.22673,"Food",NA,"Waste paper | Paper off cuts"
"TR Centre Limited","Obapack Limited","Recycling","Food","Waste",5.80733,0.15617,"Recycling","Waste tyre","Carbon black",7.61418,-1.9245,"Food",NA,"Waste paper | Paper off cuts | Food waste"
